TEMPERATURE PIECE;TEMPERATURE FOUR;CONSIGNE1;CONSIGNE2;DATE;HEURE;NUMERO DE CHARGE;STATUS
702;0;850;0;08092022;263516220000;10352;Encours
702;0;850;0;08092022;263517220000;10352;Encours
702;0;850;0;08092022;263518210000;10352;Encours
702;0;850;0;08092022;263519230000;10352;Encours
702;0;850;0;08092022;263520210000;10352;Encours
702;0;850;0;08092022;263521250000;10352;Encours
702;0;850;0;08092022;263522230000;10352;Encours
702;0;850;0;08092022;263523240000;10352;Encours
702;0;850;0;08092022;263524210000;10352;Encours
702;0;850;0;08092022;263525230000;10352;Encours
702;0;850;0;08092022;263626210000;10352;Encours
702;0;850;0;08092022;263627230000;10352;Encours
702;0;850;0;08092022;263628210000;10352;Encours
702;0;850;0;08092022;263629220000;10352;Encours
702;0;850;0;08092022;263630220000;10352;Encours
702;0;850;0;08092022;263631250000;10352;Encours
702;0;850;0;08092022;263632220000;10352;Encours
702;0;850;0;08092022;263633230000;10352;Encours
702;0;850;0;08092022;263634220000;10352;Encours
702;0;850;0;08092022;263635230000;10352;Encours
703;0;850;0;08092022;263736230000;10352;Encours
702;0;850;0;08092022;263737210000;10352;Encours
702;0;850;0;08092022;263738220000;10352;Encours
702;0;850;0;08092022;263739220000;10352;Encours
702;0;850;0;08092022;263739220000;10352;Encours
702;0;850;0;08092022;263741120000;10352;Encours
702;0;850;0;08092022;263742210000;10352;Encours
702;0;850;0;08092022;263743220000;10352;Encours
702;0;850;0;08092022;263744210000;10352;Encours
702;0;850;0;08092022;263745220000;10352;Encours
703;0;850;0;08092022;263846230000;10352;Encours
703;0;850;0;08092022;263847210000;10352;Encours
703;0;850;0;08092022;263848220000;10352;Encours
703;0;850;0;08092022;263849220000;10352;Encours
703;0;850;0;08092022;263850240000;10352;Encours
703;0;850;0;08092022;263851240000;10352;Encours
703;0;850;0;08092022;263852240000;10352;Encours
703;0;850;0;08092022;263853220000;10352;Encours
703;0;850;0;08092022;263854210000;10352;Encours
703;0;850;0;08092022;263855220000;10352;Encours
703;0;850;0;08092022;263956230000;10352;Encours
703;0;850;0;08092022;263957240000;10352;Encours
703;0;850;0;08092022;263958220000;10352;Encours
703;0;850;0;08092022;263959210000;10352;Encours
703;0;850;0;08092022;263960220000;10352;Encours
703;0;850;0;08092022;263961240000;10352;Encours
703;0;850;0;08092022;263962220000;10352;Encours
703;0;850;0;08092022;263963230000;10352;Encours
703;0;850;0;08092022;263964230000;10352;Encours
703;0;850;0;08092022;263965210000;10352;Encours
703;0;850;0;08092022;264066210000;10352;Encours
703;0;850;0;08092022;264067240000;10352;Encours
703;0;850;0;08092022;264068210000;10352;Encours
703;0;850;0;08092022;264069230000;10352;Encours
703;0;850;0;08092022;264070210000;10352;Encours
703;0;850;0;08092022;264071220000;10352;Encours
703;0;850;0;08092022;264072230000;10352;Encours
703;0;850;0;08092022;264073230000;10352;Encours
703;0;850;0;08092022;264074220000;10352;Encours
703;0;850;0;08092022;264075220000;10352;Encours
703;0;850;0;08092022;264176250000;10352;Encours
703;0;850;0;08092022;264177210000;10352;Encours
703;0;850;0;08092022;264178220000;10352;Encours
